Ratings,Book,Avg Rating,Author
"2,870,458 ratings",The Great Gatsby Author: F. Scott Fitzgerald,3.89 avg rating,F. Scott Fitzgerald
"2,244,822 ratings",The Hobbit or There and Back Again. Illustrated by the Author,4.25 avg rating,J.R.R. Tolkien
"10,879 ratings",Six Characters in Search of an Author,3.83 avg rating,Luigi Pirandello
"1,300,983 ratings","Jane Eyre - Classis Version (Annotated, Quotes, Author's Biography, Other Features)",4.10 avg rating,Charlotte Brontë
"1,027,726 ratings","Wuthering Heights - Classic Version (Annotated, Quotes, Author's Biography, Other Features)",3.83 avg rating,Emily Brontë
"8,377 ratings","An Author's Odyssey (The Land of Stories, #5)",4.47 avg rating,Chris Colfer
"1,021,447 ratings",The Adventures of Huckleberry Finn: annotated with author biography,3.80 avg rating,Mark Twain
"787,560 ratings","SENSE AND SENSIBILITY by Jane Austen author of Sense and Sensibility, Pride and Prejudice, Persuasion, Emma, Mansfield Park, Nothanger Abbey (Annotated)",4.06 avg rating,Jane Austen
"715,771 ratings",Dracula,3.98 avg rating,Bram Stoker
"614,006 ratings",The Count of Monte Cristo : Classics Book (With History of Author) [Annotated],4.22 avg rating,Alexandre Dumas
"487,006 ratings",Anna Karenina (Annotated) with Detailed Biography of the Author,4.02 avg rating,Leo Tolstoy
"5,045 ratings",J.R.R. Tolkien: Author of the Century,3.79 avg rating,Tom Shippey
"520,256 ratings","GREAT EXPECTATIONS by Charles Dickens author of The Pickwick Papers, Oliver Twist, Hard Times, A Tale of Two Cities, Great Expectations (Annotated)",3.75 avg rating,Charles Dickens
"511,959 ratings","EMMA by Jane Austen author of Sense and Sensibility, Pride and Prejudice, Persuasion, Emma, Mansfield Park, Nothanger Abbey (Annotated)",3.99 avg rating,Jane Austen
"607,273 ratings","The Adventures of Tom Sawyer - Complete Version (ANNOTATED & UNABRIDGED with Exclusive Features, Author's biography, Adaptations, Reviews)",3.90 avg rating,Mark Twain
"1,908 ratings",Author Anonymous,4.18 avg rating,E.K. Blair
722 ratings,"Author, Author",3.59 avg rating,David Lodge
"313,945 ratings",Neverwhere Ltd: The Author's Preferred Text,4.18 avg rating,Neil Gaiman
"14,860 ratings",The Chronicles of Harris Burdick: 14 Amazing Authors Tell the Tales,3.91 avg rating,Chris Van Allsburg
"6,364 ratings","The Absent Author (A to Z Mysteries, #1)",3.94 avg rating,Ron Roy
